test/success_rate,stats_o/mean,stats_o/std,stats_g/std,train/success_rate,train/episode,stats_g/mean,epoch,test/mean_Q,test/episode
0.5958333333333333,0.38205543,1.0268111,1.0716585,0.5499999999999999,50.0,-0.1507458,0,0.0021392948,40.0
0.5333333333333333,0.39058593,1.0255283,1.0732145,0.545,100.0,-0.15749654,1,0.0007005262,80.0
0.6416666666666667,0.3942462,1.0233886,1.073456,0.5422222222222223,150.0,-0.15756173,2,0.0011279407,120.0
0.5416666666666666,0.39331636,1.0243245,1.0744066,0.5491666666666667,200.0,-0.15665935,3,0.000500631,160.0
0.6041666666666666,0.39266697,1.025782,1.0731107,0.5591666666666667,250.0,-0.1575073,4,0.00059228746,200.0
0.5375,0.39700177,1.0279628,1.0740327,0.5633333333333334,300.0,-0.15309303,5,-0.00022058084,240.0
0.5916666666666667,0.39942884,1.0282838,1.0740993,0.5708333333333334,350.0,-0.15258025,6,-8.077919e-05,280.0
0.5958333333333333,0.3971114,1.0285063,1.0731862,0.5650000000000001,400.0,-0.15497227,7,0.00013318741,320.0
0.6208333333333332,0.399369,1.0273532,1.0726823,0.5599999999999999,450.0,-0.15667352,8,-5.416623e-05,360.0
0.5583333333333333,0.39902806,1.0259137,1.0721668,0.5666666666666667,500.0,-0.15673378,9,-0.00010728339,400.0
0.5833333333333334,0.39654586,1.0260291,1.0724748,0.5666666666666667,550.0,-0.157162,10,4.0185132e-05,440.0
0.5666666666666668,0.39647308,1.025702,1.0726107,0.5708333333333333,600.0,-0.15767051,11,-4.3050513e-05,480.0
0.5583333333333333,0.39744475,1.0255829,1.0731457,0.5633333333333334,650.0,-0.15785682,12,-8.333108e-05,520.0
0.5708333333333333,0.39703214,1.0258096,1.0725703,0.5708333333333333,700.0,-0.158143,13,6.188408e-05,560.0
0.5750000000000001,0.39703318,1.0260988,1.0724884,0.5758333333333333,750.0,-0.15914087,14,-0.00049881265,600.0
0.5958333333333333,0.39765695,1.0261074,1.0724522,0.5733333333333334,800.0,-0.15976484,15,-2.3815235e-05,640.0
0.5666666666666667,0.3984616,1.026176,1.0724558,0.5758333333333333,850.0,-0.15983589,16,0.00010491323,680.0
0.6208333333333335,0.39851937,1.0266007,1.0725698,0.5658333333333333,900.0,-0.15958157,17,0.00012261671,720.0
0.6041666666666666,0.3989859,1.026341,1.0728031,0.5608333333333334,950.0,-0.15865737,18,-0.00022205229,760.0
0.5458333333333333,0.39892864,1.0262672,1.0727669,0.57,1000.0,-0.15829922,19,2.8891393e-05,800.0
0.5541666666666667,0.39912602,1.0263468,1.0729362,0.5650000000000001,1050.0,-0.15747471,20,-0.0001293742,840.0
0.5416666666666666,0.39915514,1.0270838,1.0728025,0.5641666666666667,1100.0,-0.15699732,21,0.00015348477,880.0
0.5375,0.3992791,1.0273069,1.0728668,0.5666666666666668,1150.0,-0.1572529,22,4.6554433e-05,920.0
0.5958333333333333,0.3988794,1.0274392,1.0730109,0.5583333333333332,1200.0,-0.1567044,23,-2.3322712e-06,960.0
0.6208333333333332,0.39831176,1.0278549,1.0734161,0.5566666666666666,1250.0,-0.15702811,24,2.8819643e-06,1000.0
0.5416666666666666,0.39818355,1.0279422,1.0734873,0.5666666666666667,1300.0,-0.15762764,25,8.398834e-06,1040.0
0.5833333333333334,0.39739442,1.0280421,1.0731592,0.5750000000000001,1350.0,-0.15870152,26,-0.0002241693,1080.0
0.6,0.397233,1.028081,1.0733002,0.5825,1400.0,-0.15820901,27,-3.8719656e-05,1120.0
0.5583333333333333,0.39707744,1.0282906,1.0732056,0.5958333333333333,1450.0,-0.15794471,28,1.46027805e-05,1160.0
0.525,0.39701295,1.0284144,1.0732921,0.5966666666666667,1500.0,-0.15716352,29,-0.00016712498,1200.0
0.5833333333333334,0.39692786,1.0280497,1.0731345,0.5858333333333333,1550.0,-0.15737946,30,8.346383e-05,1240.0
0.5791666666666666,0.39694825,1.0280771,1.0733508,0.5766666666666667,1600.0,-0.15736727,31,-2.7189193e-05,1280.0
0.6333333333333333,0.39618376,1.0281267,1.0732862,0.5675,1650.0,-0.15771034,32,-9.624941e-07,1320.0
0.5458333333333334,0.3962029,1.0276183,1.0731541,0.545,1700.0,-0.1577939,33,-0.00012075059,1360.0
0.5416666666666666,0.39679512,1.0277183,1.073115,0.5416666666666666,1750.0,-0.15778755,34,-0.00012120282,1400.0
0.5208333333333334,0.39679852,1.0278132,1.0732777,0.545,1800.0,-0.15744671,35,-9.995663e-06,1440.0
0.5791666666666667,0.39676425,1.0276107,1.0731661,0.5458333333333333,1850.0,-0.15721504,36,-0.00035098474,1480.0
0.5875,0.39663696,1.0274148,1.0729984,0.5591666666666667,1900.0,-0.1569658,37,-1.7251256e-06,1520.0
0.5958333333333333,0.39663747,1.0276514,1.0732704,0.5566666666666668,1950.0,-0.15730898,38,3.757432e-06,1560.0
0.5708333333333333,0.3965788,1.0275635,1.0734597,0.5541666666666666,2000.0,-0.15708862,39,-0.00014928886,1600.0
0.5666666666666668,0.39651433,1.0275509,1.073623,0.5575,2050.0,-0.15680282,40,-2.0238871e-05,1640.0
0.5625,0.3967383,1.0274515,1.073578,0.5583333333333333,2100.0,-0.15710716,41,4.8189064e-05,1680.0
